date,route,city,price,prev_price,delta,delta_pct,window_n,low,high,pct_rank,flag
2026-07-04,BKK-CNX,Chiang Mai,2080,2478,-398,-16.1,20,2080,2638,0.0,low in 20
2026-07-04,BKK-DAD,Da Nang,4428,4428,0,0.0,20,4074,4530,52.6,
2026-07-04,BKK-HAN,Hanoi,4774,4724,50,1.1,20,4691,4944,47.4,
2026-07-04,BKK-HKT,Phuket,1649,1552,97,6.2,20,906,1649,100.0,high in 20
2026-07-04,BKK-HND,Tokyo (Haneda),12513,11202,1311,11.7,20,11202,12922,73.7,
2026-07-04,BKK-KBV,Krabi,2355,2150,205,9.5,20,970,2355,100.0,high in 20
2026-07-04,BKK-KIX,Osaka,9623,9623,0,0.0,20,9623,11022,0.0,low in 20
2026-07-04,BKK-NRT,Tokyo (Narita),9136,9136,0,0.0,20,8767,11254,5.3,
2026-07-04,BKK-PEK,Beijing,8665,8665,0,0.0,20,8665,9670,0.0,low in 20
2026-07-04,BKK-PVG,Shanghai,7551,7330,221,3.0,20,6788,7669,84.2,
2026-07-04,BKK-SGN,Ho Chi Minh City,4704,4598,106,2.3,20,4598,5363,21.1,
2026-07-05,BKK-CAN,Guangzhou,5652,5652,0,0.0,21,5652,7060,0.0,low in 21
2026-07-05,BKK-CEI,Chiang Rai,2530,2530,0,0.0,21,2356,2754,50.0,
2026-07-05,BKK-CNX,Chiang Mai,2080,2080,0,0.0,21,2080,2638,0.0,low in 21
2026-07-05,BKK-DAD,Da Nang,4416,4428,-12,-0.3,21,4074,4530,45.0,
2026-07-05,BKK-HAN,Hanoi,4778,4774,4,0.1,21,4691,4944,50.0,
2026-07-05,BKK-HKT,Phuket,1649,1649,0,0.0,21,906,1649,95.0,high in 21
2026-07-05,BKK-HND,Tokyo (Haneda),12513,12513,0,0.0,21,11202,12922,70.0,
2026-07-05,BKK-KBV,Krabi,2282,2355,-73,-3.1,21,970,2355,95.0,
2026-07-05,BKK-KIX,Osaka,9623,9623,0,0.0,21,9623,11022,0.0,low in 21
2026-07-05,BKK-NRT,Tokyo (Narita),9136,9136,0,0.0,21,8767,11254,5.0,
2026-07-05,BKK-PEK,Beijing,8665,8665,0,0.0,21,8665,9670,0.0,low in 21
2026-07-05,BKK-PVG,Shanghai,7633,7551,82,1.1,21,6788,7669,95.0,
2026-07-05,BKK-SGN,Ho Chi Minh City,4704,4704,0,0.0,21,4598,5363,20.0,
2026-07-06,BKK-CAN,Guangzhou,5652,5652,0,0.0,22,5652,7060,0.0,low in 22
2026-07-06,BKK-CEI,Chiang Rai,2530,2530,0,0.0,22,2356,2754,47.6,
2026-07-06,BKK-CNX,Chiang Mai,2080,2080,0,0.0,22,2080,2638,0.0,low in 22
2026-07-06,BKK-DAD,Da Nang,4416,4416,0,0.0,22,4074,4530,42.9,
2026-07-06,BKK-HAN,Hanoi,4747,4778,-31,-0.6,22,4691,4944,23.8,
2026-07-06,BKK-HKT,Phuket,1516,1649,-133,-8.1,22,906,1649,66.7,
2026-07-06,BKK-HND,Tokyo (Haneda),12561,12513,48,0.4,22,11202,12922,76.2,
2026-07-06,BKK-KBV,Krabi,2282,2282,0,0.0,22,970,2355,90.5,
2026-07-06,BKK-KIX,Osaka,9623,9623,0,0.0,22,9623,11022,0.0,low in 22
2026-07-06,BKK-NRT,Tokyo (Narita),9136,9136,0,0.0,22,8767,11254,4.8,
2026-07-06,BKK-PEK,Beijing,8665,8665,0,0.0,22,8665,9670,0.0,low in 22
2026-07-06,BKK-PVG,Shanghai,7632,7633,-1,-0.0,22,6788,7669,90.5,
2026-07-06,BKK-SGN,Ho Chi Minh City,4704,4704,0,0.0,22,4598,5363,19.0,
